name,total_length,compressed_length,compression_ratio,file_size
0025222e7f2a6df7cf9fa713be245ff88429130b922ccae04594dc6f6face66f,2674984.0,441882.0,6.053616,2613410.0
004d1b0c7852c95b9720ab8ab4a97bea17c1c02cf481d44e96c42237504b9417,90110.0,15472.0,5.8240695,88012.0
0049a81d8139351e61add6f53f6a0cd2767bfcbf4a22217f3edeeac91dfaef8f,101020.0,22176.0,4.555375,98674.0
00348d216177030743158ea62d8adc562ec15bb779691507911e5438bbe62618,1736901.0,291478.0,5.958944,1697131.0
001ae47d6993fd354bcf15bfa357abf3525d345999f322763a18dccf1f7cd607,7244900.0,1340913.0,5.4029603,7048850.0
005722f5c754c79c90d33d561086602c60baf3c07c7b2459d2dc000296645db5,250786.0,37135.0,6.7533593,244825.0
00528a09d412ccc3109636333f9a0d6cee31bb005e69b84f1a5ac528d77b21a3,1241240.0,230659.0,5.381277,1207544.0
004de56c87ec09f1022747d6713c26328397dec1a683f76aa178a48da776c82c,1281841.0,273498.0,4.6868386,1236598.0
003dc05c74dedfb83f73982173d2ed293a84a2af8a7ef8b6e6ff928119859a2e,2448801.0,417396.0,5.866853,2393215.0
00456a642ec58996ff559cb71f4124fb89f4cb52a29c85ace7f7a6c6e3f5f17d,2759241.0,443341.0,6.2237444,2696165.0
0022b5c04d3c13130b5b50c0f35f0a87c797822c5d720ef15f42c1fbdd30caac,5564041.0,924951.0,6.015498,5436286.0
005f178ebd6f6065b472bc7608bdc00b0e6d1c62cc9aa8820392cca17ae31c42,38390.0,7768.0,4.94207,37334.0
005c5592bcf85f27d4f2974f9519e15b8bdf9b0a0da5107641ae57d083474c20,1294204.0,224594.0,5.762416,1258706.0
00608e9164b0cf062f5ba65c0df4f1a943cb9b58ab2cad8f22980ab4ee3efd1a,58971.0,12110.0,4.8696117,57713.0
0063602c8d3ade366a3b1eb77f52b8449349af330adf6aaf8965eed911023fe4,18963.0,4234.0,4.4787436,18201.0
005e5899be9487f36ad88b7c02c618fecd770b7bd91a4129d54b7eb2f66f27aa,675471.0,125149.0,5.3973346,657324.0
006a290c7dd295cc0dce72e1a458994725af67f4340e41060f6ee2812865c37f,88312.0,17035.0,5.18415,86178.0
005f22b65f38af9711537471dd523087e0786dc99f449db907f0e276bd1f7d5c,869640.0,166449.0,5.2246633,845352.0
0059248efd9862ae0641c834953259de5ae340161f5593149a0cf899af666a58,2305293.0,388065.0,5.9404817,2252597.0
007129141cddbadef6a5992fe0a9340966c3bed8e57cf86923eb283ea9a4a38a,1007091.0,167543.0,6.0109406,984331.0
006be4a43d02108fb49c27551fa878efc13342dcfdb8019d7848cb91ba64b6bc,1189266.0,225026.0,5.285016,1156518.0
007224cf73cbc4c6826cf7c916101b5196e9a910de3b040b57669fdde0e9f0b8,208696.0,35487.0,5.880914,203627.0
00090d289035749bdd0a25ad1990be32b12e3d1ae03bc58891f8b1df00bb2f5f,11514262.0,1846316.0,6.2363443,11229717.0
0077316771421b750b05a43f4a385cee540d6edb1dc201a720b2a08f184510c0,45722.0,10336.0,4.4235682,44538.0
007377d2c9d6a4b176d3029d68f8b89d1109994db6d2686f32605b2303e72ae9,308156.0,62377.0,4.9402184,301076.0
004696e7b2aa673d082eb25b28301e950739132afe97bbfc034a2c4af845ab3f,5594542.0,929964.0,6.0158696,5465991.0
00835e2950268607b41b047fb962720594db24e526ec37f00e7e8f141f92f88f,67935.0,14781.0,4.596103,65271.0
00837efd82b73e5ae699d47d1c7fdbd441fc2d4258fe24d5368ab34b6f478189,40146.0,8960.0,4.4805803,38573.0
008855aab29c845b8f4b5343166f78588afd6348467e65f4d78261547ee0e3d5,97601.0,16978.0,5.748675,95347.0
0078c327a41442fcd8edb997a41374456cb017099ee300e21008ed12d4f3598a,845954.0,161710.0,5.2313027,823001.0
008ecd2c552c00a4cef7b9e5bb64eb27e36da8cb5cb7e16498966eaa19cd07ad,134066.0,22330.0,6.0038514,130700.0
008ff3e114e52884e2105373a4c366c5aeb7ee663d0da09c02786a1e03918866,63240.0,13099.0,4.8278494,61918.0
0090019cdecf4e4a32e951a4e5fa255d7903b1b5efe1038a8771e7d4d5721a41,477820.0,89948.0,5.3121805,464510.0
0058c66deeb60aa89b2627571f172d69f3afb72ded34b7ca2985d81395c040f6,5594424.0,929956.0,6.0157943,5465875.0
00979e9f4133a34279d60dc18c82e9a6590a8184c3bb220a823f6beab61da448,21776.0,4991.0,4.3630533,20908.0
007eb013e7bee5e22a0f7eae976a0ffec604dffcc841f9a699417c14dd475602,1852093.0,314852.0,5.8824244,1809260.0
009a43a8f87f343e623fef9e4290c63a59d35f6d3be4732d574c301888558316,258630.0,43843.0,5.899003,253074.0
00a10d07277a7230bf72e4a77a4fd0a7b7b8d031e671e16432f7838676cb2456,17133.0,4155.0,4.1234655,16705.0
00a16b603a383437bee040ca582e16e1b1abb1ecfc225d76f043cb528061d041,17870.0,3486.0,5.1262193,17400.0
00a20a5799aa786e2711b43682cf9d533719d5e404c2c5ef1709ac8fdec585f1,37978.0,7482.0,5.0759153,37026.0
009a7ff521a71d937fcb3f58837192d32bc9de078784fd42bf4f3e303c984201,521352.0,84594.0,6.16299,509312.0
00a25fd7e092e2e5ee2840a1672c7ccba6aaed6d9ecad2475d30c4be83e77331,50806.0,8815.0,5.7635846,49607.0
00a385629b115390ebbca4226d4415465bf7d1c8a9c8ad9f96b00c427b141c11,91332.0,13974.0,6.5358524,89465.0
0071b93058f24e2ae2702b7dabdc8885f7d320b4b604c47df0ed240f7db53a72,6356923.0,1215670.0,5.2291517,6198880.0
00540a0dc61a038014a52750c4a5be6cc69663b9113cba0c8a844383d64ae989,17018376.0,3211344.0,5.2994556,16552325.0
00ab29f665d6a710b4ee8623a9e52584a87a6140b4878d8f64ed3caf2e93a77d,1621797.0,266961.0,6.0750337,1583704.0
00ad36f3cc905afcfcfb40d399c633f133b21100d59b98124afba877ab934aa8,324945.0,69513.0,4.6745934,312620.0
00a2d74504680d63e273769bd8bcbef31ddfacfa99a8b3432ff5dce9d2b3f177,14683177.0,2597558.0,5.652685,14310902.0
00adbcb3d7178fd7f60a3406c35c6b9acb459c9f77e42c43698f79b1570933e7,339803.0,45754.0,7.4267387,333715.0
00aefc221f17b340e1dc2765702b1d70e1f7359dcc53138eec985d2c36b6c796,128150.0,26434.0,4.8479233,123288.0
00b52d478241fcb0247f51c934988ef0a77f16cd883257bd9d705ae71bc0821f,68926.0,11923.0,5.7809277,67287.0
00afbe982d31febcb1ac6b34b4d990900abf6411999b713bc6b49a453a3f7625,297725.0,57071.0,5.2167478,289686.0
00b9e680355207c3b70e66bec5a980b269a53b61296ee7a67e49d51835447f1d,149412.0,29425.0,5.077723,145766.0
00bb81efd3a536ebc21802b086b63365bd19b71f5161ca6cf996cbf8b7a8895f,21300.0,2661.0,8.00451,20786.0
00b9e739eec0fcdd708b4880c35e455003a8bd8eb8037a8a3cc10707bf8889a9,852881.0,154635.0,5.515446,829537.0
005751f68ce0f3fb07b85158795731182e4047770b01d277f9e73a8f9a32a977,19733640.0,3937538.0,5.0116696,19222480.0
00bc31827122f0f94c10f3547faebfa273b56882c740367595f87342d088a982,24623.0,5692.0,4.325896,24035.0
00bbba5788687c1ee73bd6629e9d77e79bd147711e69a8e5163489f7edaa07dc,1335473.0,253974.0,5.258306,1302053.0
00bf6e6e2f6ef38412ea71fb7c17af9a8731bc33b2584e4ff852673feb79cbd4,33390.0,6790.0,4.917526,32671.0
008e7701d757fcd335d0de6944a4af9b72406ec4e0218b08ae49d6dfffbccda9,16937592.0,2810156.0,6.0272784,16548695.0
002f33fee7b8a159058368b7e93e492931c4ca72e90660bdb2691bcd62fedd3c,25558816.0,4768395.0,5.360046,24862744.0
00a7d6c58e599ffeb883a84903a08c3c423cf9a2e8ade2258ffa37663e36b1a6,16082302.0,2748932.0,5.850382,15736940.0
00bc281c7a28c9e3a43b29a8a85789049e29759179b10768497ae3e8efd4e56c,2319854.0,422746.0,5.4875836,2259071.0
00cb061317d9ddb1e47950b09f2653b54a117ed7bd7cb69ef7b55a4c81801e23,106723.0,20419.0,5.2266517,103861.0
00c937a14667b81fd0d4307e3ad656e2d630c0d4874eb040f617abc768c48226,1960268.0,368901.0,5.313805,1910778.0
00c0415505d6649dcbe9f956dee1b3fd63ad8f7d47fc715d17da928dcd652505,3456118.0,663122.0,5.211889,3367206.0
00cf489246ee0ca801e91e44a1ce9a8f0bffa88b6b42d8cbb09422f608d2459e,123998.0,24394.0,5.083135,120592.0
00cb9321ed67cdd051e722ad32fa4cb8a67d029a0a0ae810016be3629b1c963e,1730857.0,265143.0,6.528013,1690295.0
00d195f582126a962a4fbf2bde19d25fdb701da25955e5af1cf4f76f22258410,26327.0,5861.0,4.4918957,25291.0
00d62c87ff5f8b976bdcdd769363bb83c2f687af9261645fa1fc21cdd093ca36,36108.0,7739.0,4.665719,35315.0
00bdb4919804250c7fa8018e79161812564cbb80765265466000116c92dc5a66,5046776.0,877476.0,5.751469,4914233.0
00cfdc9b738a1552acfa3428f66932bd82221c9cad6378f1e0476afee469589f,1509272.0,254742.0,5.9247084,1476761.0
00ce609324dd51deb55b1b40403067bdd278c4dd7104ddf727e2abb4ee6cb380,3270179.0,660821.0,4.948661,3153294.0
00dd9c8fc139b9d1a61c99cbe9b07083ed6cca3a0c81a4750386c76774460372,19009.0,3841.0,4.9489717,18567.0
00de41f83e8ee894237c649f1d504f256d0c571b42a63c3cad397021abd2e4e4,422946.0,81815.0,5.169541,411401.0
00cec49482dfdaf6a8b06e4be3b22bb7020490bf9f65654170b2486db9aa0d68,2989647.0,573167.0,5.216014,2912900.0
00dc80e49f3bd8932ca4e6d0eba435542eb755d5654e095511815afe70771b28,1390287.0,291336.0,4.7721086,1339664.0
