name,file_size,num_nodes,num_edges,num_loops,num_calls,num_jumps,num_ret,num_conditional_jumps,average_out_degree,average_in_degree
0024b109a4f71b7cfc830217a9eef9a91460e87d04e624db38f9ada400f028a0,2607701,23514,37926,229,7980,2743,1427,8042,1.612911457004338,1.612911457004338
0025222e7f2a6df7cf9fa713be245ff88429130b922ccae04594dc6f6face66f,2613410,23562,38011,238,7990,2717,1435,8077,1.6132331720567017,1.6132331720567017
00257ef4dcbfe0294a9822fd57a75e8f582b73e1c7cff1e9c20a2e949a79ea14,527300,5730,9185,22,2405,574,398,1506,1.6029668411867364,1.6029668411867364
002648143c6ded8eadb6e0082b1a10d492c434e3be426e9c3a975317b8262cd9,321126,2725,3016,0,2,1,3,333,1.106788990825688,1.106788990825688
002874ca95aa0edd298874031383896044a736fcbbc4c529b5db7d2f91968904,824285,12344,19222,0,6447,622,2065,2490,1.557193778353856,1.557193778353856
002da599d712d89371d8666e7679d1604f875a26e4136a966885dc2e3acf2624,381708,3575,5721,56,1525,240,368,991,1.6002797202797203,1.6002797202797203
002ed77b2012c9d2e0c9524f20c7f2fadace3256c198a6111659a4f84affa17b,149033,1310,1889,2,6,4,4,702,1.4419847328244275,1.4419847328244275
002f33fee7b8a159058368b7e93e492931c4ca72e90660bdb2691bcd62fedd3c,24862745,268646,422330,1897,78676,23996,20577,94381,1.5720688191895655,1.5720688191895655
002f48466b70b6bcbf0f01225fa832f5b3ee386ba1936bb387ceb518502c8359,36654,391,502,2,8,26,43,182,1.2838874680306904,1.2838874680306904
003085b88b537ca2e2b56c90fcddac45ec4d3153de1a100e3ca91d43774995e4,90621,1329,2308,0,956,93,92,108,1.7366440933032354,1.7366440933032354
00348d216177030743158ea62d8adc562ec15bb779691507911e5438bbe62618,1697131,15391,24378,132,4098,1853,1002,6156,1.5839126762393607,1.5839126762393607
00378d4156461d124b5dd656b5a8f1a74c95e8b6f121e36bcc274230c06d6da5,42874,502,523,0,1,3,1,29,1.0418326693227091,1.0418326693227091
0038c1285921920ff283cb1d0e1c6c9d613a7b3a6c876fa8c8a23a53f58c3ac6,297610,2740,3185,0,3,1,3,506,1.1624087591240877,1.1624087591240877
00391138cb158a4c109a96e55a5d33080508b3da9623c4df26cd848cf463cae0,115380,1367,1550,9,36,46,106,447,1.1338697878566204,1.1338697878566204
00398a94b8f0ebbb70251b6183eaadb54b33ffcd083eec037d4542c2cb7e2857,41090,652,1014,0,325,67,100,90,1.5552147239263805,1.5552147239263805
003dc05c74dedfb83f73982173d2ed293a84a2af8a7ef8b6e6ff928119859a2e,2393215,22171,33413,431,3799,1582,936,8675,1.507058770465924,1.507058770465924
003fef37f4783ea92fa79f98c149273053626fc9ab85b02c2e7019460bba41f6,415099,4668,7256,10,1345,658,364,1629,1.5544130248500427,1.5544130248500427
00456a642ec58996ff559cb71f4124fb89f4cb52a29c85ace7f7a6c6e3f5f17d,2696165,24594,38481,210,5833,3720,1644,9835,1.5646499146133204,1.5646499146133204
0045b16fd5cfb37697352af6235163411ae39e4673c34b2ff4d78c5112a90311,15922,175,212,1,3,4,32,73,1.2114285714285715,1.2114285714285715
004696e7b2aa673d082eb25b28301e950739132afe97bbfc034a2c4af845ab3f,5465991,49305,79245,643,14402,5206,3156,19107,1.6072406449650136,1.6072406449650136
0049a81d8139351e61add6f53f6a0cd2767bfcbf4a22217f3edeeac91dfaef8f,98674,1147,1197,10,30,21,406,451,1.04359197907585,1.04359197907585
004d1b0c7852c95b9720ab8ab4a97bea17c1c02cf481d44e96c42237504b9417,88012,823,1274,2,227,73,61,326,1.5479951397326852,1.5479951397326852
004de56c87ec09f1022747d6713c26328397dec1a683f76aa178a48da776c82c,1236598,20990,24252,0,4175,685,1131,201,1.1554073368270603,1.1554073368270603
00528a09d412ccc3109636333f9a0d6cee31bb005e69b84f1a5ac528d77b21a3,1207544,13252,20440,104,4306,1664,1317,4170,1.5424086930274676,1.5424086930274676
00540a0dc61a038014a52750c4a5be6cc69663b9113cba0c8a844383d64ae989,16552325,182003,284046,12,21704,11119,5176,85563,1.5606665824189712,1.5606665824189712
005722f5c754c79c90d33d561086602c60baf3c07c7b2459d2dc000296645db5,244825,2635,3325,2,828,77,567,720,1.2618595825426946,1.2618595825426946
005751f68ce0f3fb07b85158795731182e4047770b01d277f9e73a8f9a32a977,19222481,210303,300667,923,23917,8266,9415,86315,1.4296847881390184,1.4296847881390184
0058c66deeb60aa89b2627571f172d69f3afb72ded34b7ca2985d81395c040f6,5465875,49304,79244,643,14402,5205,3156,19107,1.607252961220185,1.607252961220185
0059248efd9862ae0641c834953259de5ae340161f5593149a0cf899af666a58,2252597,20399,32296,436,5065,2440,1317,8189,1.5832148634736998,1.5832148634736998
